team	player	faction	list	objective	wrname	tcname	id	cost
Canada Moose	Josh Richter 1	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Canada Moose	Josh Richter 1	retribution	Vyros2	NA	Vyros, Incissar of the Dawnguard - WJ: +27	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Canada Moose	RJ Marchant 1	legion	Saeryn2 & Rhyas2	NA	Saeryn & Rhyas, Talons of Everblight - WB: +24	Saeryn2 & Rhyas2 (Saeryn & Rhyas Talons of Everblight)	EW09	24
Canada Moose	RJ Marchant 1	legion	Lylyth3	NA	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Canada Moose	Jeff Everitt 1	khador	Butcher1	NA	Orsus Zoktavir, The Butcher of Khardov - WJ: +28	 Butcher1 (Orsus Zoktavir The Butcher of Khardov)	KW01	28
Canada Moose	Jeff Everitt 1	khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Canada Moose	Cory Doyle 1	protectorate	Kreoss3	NA	Intercessor Kreoss - WJ: +28	Kreoss3 (Intercessor Kreoss)	PW17	28
Canada Moose	Cory Doyle 1	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Canada Moose	Dustin Mcwhirter 1	cygnar	Haley1	NA	Captain Victoria Haley - WJ: +28	Haley1 (Captain Victoria Haley)	YW01	28
Canada Moose	Dustin Mcwhirter 1	cygnar	Stryker2	NA	Lord Commander Stryker - WJ: +28	Stryker2 (Lord Commander Stryker)	YW13	28
China Egg Roll	1 He Jiang (Joey) - Trollbloods	trollbloods	Calandra	NA	Calandra Truthsayer, Oracle of the Glimmerwood - WB: +27	Calandra (Calandra Truthsayer Oracle of the Glimmerwood)	TW06	27
China Egg Roll	1 He Jiang (Joey) - Trollbloods	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
China Egg Roll	2 Chen Ge (Gary) – Protectorate of Menoth	protectorate	Amon1	NA	High Allegiant Amon Ad-Raza - WJ: +29	Amon1 (High Allegiant Amon Ad-Raza)	PW05	29
China Egg Roll	2 Chen Ge (Gary) – Protectorate of Menoth	protectorate	High Reclaimer1	NA	The High Reclaimer - WJ: +32	High Reclaimer1 (The High Reclaimer)	PW02	32
China Egg Roll	3 Guanbo Liu(Jack) - Cryx	cryx	Deneghra1	NA	Warwitch Deneghra - WJ: +28	Deneghra1 (Warwitch Deneghra)	CW02	28
China Egg Roll	3 Guanbo Liu(Jack) - Cryx	cryx	Asphyxious3	NA	Asphyxious the Hellbringer - WJ: +24	Asphyxious3 (Asphyxious the Hellbringer & Vociferon)	CW16	24
China Egg Roll	4 Luke Pollard (Team Captain) Circle Orboros	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
China Egg Roll	4 Luke Pollard (Team Captain) Circle Orboros	circle	Kromac2	NA	Kromac, Champion of the Wurm - WB: +28	Kromac2 (Kromac Champion of the Wurm)	OW10	28
China Egg Roll	5 Jason Mcleod - Minions	minions	Arkadius1	NA	Dr. Arkadius - WB: +32	 Arkadius1 (Dr. Arkadius)	IW04	32
China Egg Roll	5 Jason Mcleod - Minions	minions	Carver1	NA	Lord Carver, BMMD, Esq. III - WB: +28	Carver1 (Lord Carver BMMD Esq. III)	IW01	28
China Baizhan	WEI JIN "PLANESWALKER"	khador	Karchev1	Arcane Wonder - Steamroller Objective	Karchev the Terrible - WJ: +30	 Karchev1 (Karchev the Terrible)	KW05	30
China Baizhan	WEI JIN "PLANESWALKER"	khador	Irusk1	NA	Kommandant Irusk - WJ: +27	 Irusk1 (Kommandant Irusk)	KW04	27
China Baizhan	YANG SONG (CAPTAIN)	retribution	Kaelyssa1	NA	Kaelyssa, The Night's Whisper - WJ: +29	 Kaelyssa1 (Kaelyssa Night's Whisper)	RW04	29
China Baizhan	YANG SONG (CAPTAIN)	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
China Baizhan	LEI	legion	Lylyth3	NA	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
China Baizhan	LEI	legion	Absylonia2	NA	Absylonia, Daughter of Everblight - WB: +28	Absylonia2 (Absylonia Daughter of Everblight)	EW13	28
China Baizhan	GUA	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
China Baizhan	GUA	trollbloods	Calandra	NA	Calandra Truthsayer, Oracle of the Glimmerwood - WB: +27	Calandra (Calandra Truthsayer Oracle of the Glimmerwood)	TW06	27
China Baizhan	YOUWEI WU	convergence	Axis	NA	Axis, The Harmonic Enforcer - WJ: +30	Axis (Axis the Harmonic Enforcer)	COCW02	30
China Baizhan	YOUWEI WU	convergence	Lucant	NA	Father Lucant, The Divinity Architect - WJ: +28	Lucant (Father Lucant Divinity Architect)	COCW04	28
Czech Rep White	Lists	trollbloods	Hoarluk2	Arcane Wonder - Steamroller Objective	Hoarluk Doomshaper, Rage of Dhunia - WB: +27	Hoarluk2 (Hoarluk Doomshaper Rage of Dhunia)	TW11	27
Czech Rep White	Lists	trollbloods	Gunnbjorn	Arcane Wonder - Steamroller Objective	Captain Gunnbjorn - WB: +28	Gunnbjorn (Captain Gunnbjorn)	TW07	28
Czech Rep White		circle	Wurmwood1	Arcane Wonder - Steamroller Objective	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Czech Rep White		circle	Krueger2	Arcane Wonder - Steamroller Objective	Krueger the Stormlord - WB: +27	Krueger2 (Krueger the Stormlord)	OW13	27
Czech Rep White		legion	Lylyth3	Arcane Wonder - Steamroller Objective	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Czech Rep White		legion	Absylonia2	Arcane Wonder - Steamroller Objective	Absylonia, Daughter of Everblight - WB: +28	Absylonia2 (Absylonia Daughter of Everblight)	EW13	28
Czech Rep White		cygnar	Haley1	NA	Captain Victoria Haley - WJ: +28	Haley1 (Captain Victoria Haley)	YW01	28
Czech Rep White		cygnar	Haley3	NA	Major Prime Victoria Haley - WJ: +25	Haley3 (Major Prime Victoria Haley)	YW16	25
Czech Rep White		khador	Butcher3	NA	Kommander Zoktavir, the Butcher Unleashed - WJ: +22	 Butcher3 (Kommander Zoktavir The Butcher Unleashed)	KW16	22
Czech Rep White		khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Czech Rep Red	(C) Daniel Bogdanoski - Khador	khador	Irusk2	Arcane Wonder - Steamroller Objective	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Czech Rep Red	(C) Daniel Bogdanoski - Khador	khador	Vladimir2	Arcane Wonder - Steamroller Objective	Vladimir Tzepesci, The Dark Champion - WJ: +27	 Vladimir2 (Vladimir Tzepesci The Dark Champion)	KW13	27
Czech Rep Red	Lukáš Maršík - Trollbloods	trollbloods	Hoarluk2	Arcane Wonder - Steamroller Objective	Hoarluk Doomshaper, Rage of Dhunia - WB: +27	Hoarluk2 (Hoarluk Doomshaper Rage of Dhunia)	TW11	27
Czech Rep Red	Lukáš Maršík - Trollbloods	trollbloods	Madrak2	Arcane Wonder - Steamroller Objective	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Czech Rep Red	Adam Tuma – Protectorate of Menoth	protectorate	Severius2	Arcane Wonder - Steamroller Objective	(Severius 2) Hierarch Severius [+26]	Severius2 (Hierarch Severius)	PW14	26
Czech Rep Red	Adam Tuma – Protectorate of Menoth	protectorate	Kreoss1	NA	(Kreoss 1) High Exemplar Kreoss [+29]	Kreoss1 (High Exemplar Kreoss)	PW01	29
Czech Rep Red	Michal Dzurenda – Retribution of Scyrah	retribution	Kaelyssa1	NA	(Kaelyssa 1) Kaelyssa, the Night's Whisper [+29]	 Kaelyssa1 (Kaelyssa Night's Whisper)	RW04	29
Czech Rep Red	Michal Dzurenda – Retribution of Scyrah	retribution	Issyria1	NA	(Issyria 1) Issyria, Sibyl of Dawn [+29]	 Issyria1 (Issyria Sibyl of Dawn)	RW07	29
Czech Rep Red	Tomáš Pešták – Cryx	cryx	Asphyxious3	NA	(Asphyxious 3) Asphyxious the Hellbringer [+24]	Asphyxious3 (Asphyxious the Hellbringer & Vociferon)	CW16	24
Czech Rep Red	Tomáš Pešták – Cryx	cryx	Skarre2	NA	(Skarre 2) Skarre, Queen of the Broken Coast [+26]	Skarre2 (Skarre, Queen of the Broken Coast)	CW14	26
Denmark Asgaard	Peter Bom Jensen	circle	Wurmwood1	Arcane Wonder - Steamroller Objective	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Denmark Asgaard	Peter Bom Jensen	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
Denmark Asgaard	Marc Nielsen	protectorate	High Reclaimer1	NA	The High Reclaimer - WJ: +32	High Reclaimer1 (The High Reclaimer)	PW02	32
Denmark Asgaard	Marc Nielsen	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Denmark Asgaard	Nikolaj Ulf	khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Denmark Asgaard	Nikolaj Ulf	khador	Vladimir1	NA	Vladimir Tzepesci, The Dark Prince - WJ: +28	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
Denmark Asgaard	Frederik Munch:	mercenaries	Bartolo1 	NA	Captain Bartolo Montador - WJ: +26	Bartolo1  (Captain Bartolo Montador)	MW06	26
Denmark Asgaard	Frederik Munch:	mercenaries	Gorten1	NA	Gorten Grundback - WJ: +31	Gorten1 (Gorten Grundback)	MW02	31
Denmark Asgaard	Sebastian Kaas Petersen	legion	Absylonia2	NA	 Absylonia, Daughter of Everblight - WB: +28 	Absylonia2 (Absylonia Daughter of Everblight)	EW13	28
Denmark Asgaard	Sebastian Kaas Petersen	legion	Vayl2	NA	 Vayl, Consul of Everblight - WB: +28	Vayl2 (Vayl Consul of Everblight)	EW12	28
Denmark Jotunheim	Søren	cygnar	Stryker2	NA	Lord Commander Stryker - WJ: +28	Stryker2 (Lord Commander Stryker)	YW13	28
Denmark Jotunheim	Søren	cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
Denmark Jotunheim	Benjamin	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Denmark Jotunheim	Benjamin	retribution	Helynna1	NA	Magister Helynna - WJ: +30	 Helynna1 (Magister Helynna)	RW09	30
Denmark Jotunheim	Mikkel	khador	Vladimir2	NA	Vladimir Tzepesci, The Dark Champion - WJ: +27	 Vladimir2 (Vladimir Tzepesci The Dark Champion)	KW13	27
Denmark Jotunheim	Mikkel	khador	Karchev1	NA	Karchev the Terrible - WJ: +30	 Karchev1 (Karchev the Terrible)	KW05	30
Denmark Jotunheim	Simon	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Denmark Jotunheim	Simon	protectorate	Malekus1	NA	Malekus, the Burning Truth - WJ: +30	Malekus1 (Malekus The Burning Truth)	PW11	30
Denmark Jotunheim	Jan	cryx	Goreshade1	NA	Goreshade the Bastard - WJ: +27	Goreshade1 (Goreshade the Bastard)	CW05	27
Denmark Jotunheim	Jan	cryx	Scaverous1	NA	Lord Exhumator Scaverous - WJ: +27	Scaverous1 (Lord Exhumator Scaverous)	CW09	27
England Roses	Jim Gradwell - Captain - Circle Orboros - eBaldur: 75 / 75	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
England Roses	Jim Gradwell - Captain - Circle Orboros - eBaldur: 75 / 75	circle	Tanith1	NA	Tanith the Feral Song - WB: +31	Tanith1 (Tanith the Feral Song)	OW15	31
England Roses	Jun Chan - Retribution of Scyrah - Issyria: 75 / 75	retribution	Issyria1	NA	Issyria, Sibyl of Dawn - WJ: +29	 Issyria1 (Issyria Sibyl of Dawn)	RW07	29
England Roses	Jun Chan - Retribution of Scyrah - Issyria: 75 / 75	retribution	Vyros2	NA	Vyros, Incissar of the Dawnguard - WJ: +27	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
England Roses	Ryan Evans - Cryx - Coven: 75 / 75 Army	cryx	Witch Coven	NA	The Witch Coven of Garlghast - WJ: +26	Witch Coven (The Witch Coven of Garlghast & Egregore)	CW06	26
England Roses	Ryan Evans - Cryx - Coven: 75 / 75 Army	cryx	Deneghra1	NA	Warwitch Deneghra - WJ: +28	Deneghra1 (Warwitch Deneghra)	CW02	28
England Roses	Phil Shaw - Khador - eVlad: 71 / 75 Army	khador	Vladimir2	NA	Vladimir Tzepesci, The Dark Champion - WJ: +27	 Vladimir2 (Vladimir Tzepesci The Dark Champion)	KW13	27
England Roses	Phil Shaw - Khador - eVlad: 71 / 75 Army	khador	Vladimir1	NA	Vladimir Tzepesci, The Dark Prince - WJ: +28	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
England Roses	Toby Nathan - Trollblood - Madrak: 75 / 75 Army	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
England Roses	Toby Nathan - Trollblood - Madrak: 75 / 75 Army	trollbloods	Ragnor	NA	Ragnor Skysplitter, the Runemaster - WB: +30	Ragnor (Ragnor Skysplitter The Runemaster)	TW09	30
England Lions	Dom Leedham	cygnar	Haley2	Stryker2 - WB: +28 - Arcane Wonder	Major Victoria Haley - WJ: +25 - Fuel Cache	Haley2 (Major Victoria Haley)	YW12	25
England Lions	Dom Leedham	cygnar	Caine2	NA	Captain Allister Caine - WJ: +27 - Fuel Cache	Caine2 (Captain Allister Caine)	YW14	27
England Lions	Brett Wilkie	circle	Baldur1	NA	Baldur the Stonecleaver - WB: +31 - Bunker	Baldur1 (Baldur the Stonecleaver)	OW03	31
England Lions	Brett Wilkie	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30 - Bunker	Baldur2 (Baldur the Stonesoul)	OW11	30
England Lions	Ben diBosdari	convergence	Iron Mother Directrix	NA	Iron Mother Directrix & Exponent Servitors - WJ: +27 - Bunker	Iron Mother Directrix (Iron Mother Directrix & Exponent Servitors)	COCW03	27
England Lions	Ben diBosdari	convergence	Lucant	NA	Father Lucant, The Divinity Architect - WJ: +28 - Bunker	Lucant (Father Lucant Divinity Architect)	COCW04	28
England Lions	Matt Goligher	trollbloods	Ragnor	NA	Ragnor Skysplitter - WB: +30 - Effigy of Valour	Ragnor (Ragnor Skysplitter The Runemaster)	TW09	30
